ID,lbm_2002,lbm_2008,lbm_2012,lbm_2014,lbm_2016,lbm_2018,lbm_2020,lbm_2022,cluster,2002-2008,2008-2012,2012-2014,2014-2016,2016-2018,2018-2020,2020-2022
WK189508,4.055121791,4.079207347,4.054720252,4.13930473,4.128024408,4.179948958,4.153274148,4.136612761,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
WK189509,4.051619055,4.065612618,4.100830238,4.119123947,4.168151984,4.164254299,4.17446055,4.146852396,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK189510,4.151829032,4.165560205,4.139625127,4.130861666,4.159518317,4.164312109,4.157364692,4.087252792,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK189600,4.050351209,4.061068453,4.067851346,4.047885012,4.075112346,4.094041624,4.085199434,4.09878323,3,-0.24088334214724494,-0.09455228217386161,-1.0883514705396635,-0.40930563522749486,-0.6645223318977191,-0.7153142894045985,-0.7216230840175625
WK189601,4.109718491,4.123237116,4.10472167,4.103241826,4.074811716,4.150550816,4.130591764,4.16763199,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
WK189602,4.076622851,4.046550483,4.059957993,4.112864222,4.129654702,4.131454242,4.140071387,4.103989939,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK189603,4.198423274,4.111567118,4.154559482,4.237866885,4.236530868,4.264499171,4.244751695,4.212132125,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
WK189604,4.178838601,4.16501548,4.150359969,4.172511256,4.173079454,4.189408654,4.176984081,4.165024127,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
WK189605,4.101361159,4.066142742,4.060129343,4.119894794,4.152345599,4.181563672,4.217551106,4.167758554,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK190000,4.017188801,4.06656455,4.087962922,4.127278205,4.180202165,4.128106865,4.121012424,4.149200813,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK190001,4.079915558,4.133322763,4.146940569,4.158626941,4.179298905,4.173273308,4.178741312,4.18520668,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK190002,4.106392051,4.142204365,4.163213242,4.160165973,4.167977789,4.14361501,4.140131886,4.142534296,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
